Triple,Anomaly Description,Correction Suggestion
Dean_L._Kamen -> bornOnDate -> 1951-##-##,Missing month and day in date,Use estimated month/day or approximate
Run_Run_Shaw -> bornOnDate -> 1907-##-##,Missing month and day in date,Use estimated month/day or approximate
Christian_VIII_of_Denmark -> bornOnDate -> 1786-##-##,Missing month and day in date,Use estimated month/day or approximate
Austin_Healey -> bornOnDate -> 1973-##-##,Missing month and day in date,Use estimated month/day or approximate
Andrew_Telegdi -> bornOnDate -> 1946-##-##,Missing day and month,Provide complete date
Mark_Field -> bornOnDate -> 1964-##-##,Missing day and month,Provide complete date
César_Vichard_de_Saint-Réal -> bornOnDate -> 1639-##-##,Missing day and month,Provide complete date
Lars_Winnerbäck -> bornOnDate -> 1975-##-##,Missing day and month,Provide complete date
Stephen_I_of_Bosnia -> bornOnDate -> 1242-##-##,Partial date format,Use complete valid date.
Adeliza_of_Leuven -> bornOnDate -> 1103-##-##,Partial date format,Use complete valid date.
Charlotte_of_Mecklenburg-Strelitz -> bornOnDate -> 1744-##-##,Partial date format,Use complete valid date.
Anthemius -> bornOnDate -> 420-##-##,Partial date format,Use complete valid date.
Irma_Brandeis -> bornOnDate -> 1905-##-##,Partial date format,Use complete valid date.
Averroes -> bornOnDate -> 1126-##-##,Partial date format,Use complete valid date.
1. John_Alcock_(bishop) -> bornOnDate -> 143#-##-##,Incomplete year format,Correct year format.
2. Hakan_Yakin -> bornOnDate -> 1977-##-##,Incomplete date format,Specify full date.
3. Merle_Boucher -> bornOnDate -> 1946-##-##,Incomplete date format,Specify full date.
4. Lizz_Winstead -> bornOnDate -> 1961-##-##,Incomplete date format,Specify full date.
5. Iyasu_V_of_Ethiopia -> bornOnDate -> 1887-##-##,Incomplete date format,Specify full date.
6. Valdemar_II_of_Denmark -> bornOnDate -> 1170-##-##,Incomplete date format,Specify full date.
7. Sun_Ce -> bornOnDate -> 175-##-##,Incomplete date format,Specify full date.
Nim_Chimpsky -> bornOnDate -> 1973-##-##,Incomplete date format,Specify full birth date
Amand_Bazard -> bornOnDate -> 1791-##-##,Incomplete date format,Specify full birth date
Richard_Yates_(governor) -> bornIn -> Warsaw,Uncommon birthplace for historical context,Verify birthplace accuracy
Tristram_Hunt -> bornOnDate -> 1974-##-##,Incomplete date format,Specify full birth date
Tiffani_Wood -> bornOnDate -> 1977-##-##,Incomplete date format,Specify full birth date
Enzo_Maiorca -> bornOnDate -> 1931-##-##,Incomplete date format,Specify full birth date
Sequoyah -> bornOnDate -> 1767-##-##,Incomplete date format,Specify full birth date
Afonso_VI_of_Portugal -> bornOnDate -> 1643-##-##,Incomplete date format,Specify full birth date
Rat_Man -> bornOnDate -> 1878-##-##,Incomplete date format,Specify full birth date
Ascensión_Esquivel_Ibarra -> bornOnDate -> 1844-##-##,Incomplete date format,Specify full birth date
Richard_Deane -> bornOnDate -> 1610-##-##,Incomplete date format,Specify full birth date
Ptolemy_VI_Philometor -> bornOnDate -> 186-##-##,Incomplete date format,Specify full birth date
1. Amuro_Ray -> bornOnDate -> 0063-##-##,Non-realistic birth year,Update to valid year.
2. Luitgard -> bornOnDate -> 7##-##-##,Unclear century,Specify full year.
Lucia_Rijker -> bornOnDate -> 1967-##-##,Incomplete date,Provide full birthdate.
Olive_Diefenbaker -> bornOnDate -> 1902-##-##,Incomplete date,Provide full birthdate.
Gracie_Fields -> bornOnDate -> 1898-01-09,No anomaly detected,No correction needed.
Naibe_Reynoso -> bornOnDate -> 1973-##-##,Incomplete date,Provide full birthdate.
Gustaf_Adlerfelt -> bornOnDate -> 1671-##-##,Incomplete date,Provide full birthdate.
Takuma_Sato -> bornOnDate -> 1977-##-##,Incomplete date,Provide full birthdate.
Caspar_Peucer -> bornOnDate -> 1525-##-##,Incomplete date,Provide full birthdate.
Blind_Blake -> bornOnDate -> 1893-##-##,Incomplete date,Provide full birthdate.
Berenguela_of_Castile -> bornOnDate -> 1180-##-##,Incomplete date,Provide full birthdate.
Yehiel_De-Nur -> bornOnDate -> 1909-##-##,Incomplete date format,Specify complete birth date.
Magnus_I_of_Norway -> bornOnDate -> 1024-##-##,Incomplete date format,Specify complete birth date.
Baal_Shem_Tov -> bornOnDate -> 1698-##-##,Incomplete date format,Specify complete birth date.
Cao_Rui -> bornOnDate -> 205-##-##,Incomplete date format,Specify complete birth date.
Vilém_Tauský -> bornOnDate -> 1910-##-##,Incomplete date format,Specify complete birth date.
Toussaint_Louverture -> bornOnDate -> 174#-##-##,Invalid character in year,Correct year notation.
Francisco_de_Rojas_Zorrilla -> bornOnDate -> 1607-##-##,Incomplete date format,Specify complete birth date.
Grünfeld_Defence -> bornOnDate -> 1922-##-##,Non-human subject,Use relevant predicates.
Gregor_Aichinger -> bornOnDate -> 156#-##-##,Invalid date format,Correct and complete format.
Charlotte_Church -> actedIn -> The_Charlotte_Church_Show,Show is not a film,Change 'actedIn' to 'hosted'
Romanov_sainthood -> bornIn -> Peterhof,Not a person entity,Remove triple
Vegeta -> bornOnDate -> 732-##-##,Fictional character,Remove or annotate as fictional
Madman_Muntz -> bornOnDate -> 1917-##-##,Missing day or month,Specify complete date
Wanda_Klaff -> bornOnDate -> 1922-##-##,Missing day or month,Specify complete date
Khaosai_Galaxy -> bornOnDate -> 1959-##-##,Missing day or month,Specify complete date
Evert_Horn -> bornOnDate -> 1585-##-##,Missing day or month,Specify complete date
Narses -> bornOnDate -> 478-##-##,Invalid date format,Use YYYY-MM-DD format
Amr_Moussa -> bornOnDate -> 1936-##-##,Invalid date format,Use YYYY-MM-DD format
Dynamite_MC -> bornOnDate -> 1973-##-##,Invalid date format,Use YYYY-MM-DD format
Desiree_Washington -> bornOnDate -> 1973-##-##,Invalid date format,Use YYYY-MM-DD format
Taufa%27ahau_Tupou_IV -> bornOnDate -> 1918-##-##,Invalid date format,Use YYYY-MM-DD format
Tom_Holmes -> bornOnDate -> 193#-##-##,Invalid numerical character,Use integers only
Alydar -> bornOnDate -> 1975-##-##,Invalid date format,Use YYYY-MM-DD format
Garfield_Sobers -> bornOnDate -> 1936-##-##,Invalid date format,Use YYYY-MM-DD format
Birgitta_Haukdal -> bornOnDate -> 1979-##-##,Invalid date format,Use YYYY-MM-DD format
Hélio_Castroneves -> bornOnDate -> 1975-##-##,Invalid date format,Use YYYY-MM-DD format
Rex_Applegate -> bornOnDate -> 1914-##-##,Incomplete birth date,Replace ##-## with actual date
Arsène_Houssaye -> bornOnDate -> 1815-##-##,Incomplete birth date,Replace ##-## with actual date
Interbellum_Generation -> bornOnDate -> 190#-##-##,Invalid year placeholder,Replace # with specific digit
Fritz_Hartjenstein -> bornOnDate -> 1905-##-##,Incomplete date,Use complete date format.
Sorious_Samura -> bornOnDate -> 1964-##-##,Incomplete date,Use complete date format.
Annie_Jump_Cannon -> bornOnDate -> 1863-##-##,Incomplete date,Use complete date format.
Ticha_Penicheiro -> bornOnDate -> 1974-##-##,Incomplete date,Use complete date format.
Gene_Sharp -> bornOnDate -> 1928-##-##,Incomplete date,Use complete date format.
1. Viggo_Jensen -> bornOnDate -> 1874-##-##,Incomplete date format,Update to complete date.
2. Bess_of_Hardwick -> bornOnDate -> 1527-##-##,Incomplete date format,Update to complete date.
3. Pendleton_Murrah -> bornOnDate -> 1824-##-##,Incomplete date format,Update to complete date.
4. Shah_Jahan -> bornOnDate -> 1592-##-##,Incomplete date format,Update to complete date.
5. Thurgot -> bornOnDate -> 10##-##-##,Invalid year format,Correct year and complete date.
6. Télesphore-Damien_Bouchard -> bornOnDate -> 1881-##-##,Incomplete date format,Update to complete date.
7. Guy_Hever -> bornOnDate -> 1977-##-##,Incomplete date format,Update to complete date.
Henryk_IV_Probus -> bornOnDate -> 1258-##-##,Incomplete date,Provide full birth date.
Svend-Allan_Sørensen -> bornOnDate -> 1975-##-##,Incomplete date,Provide full birth date.
Cleopatra_Thea -> bornOnDate -> 164-##-##,Incomplete date,Provide full birth date.
Marion_Jones -> bornOnDate -> 1975-##-##,Incomplete date,Provide full birth date.
Sejanus -> bornOnDate -> 20-##-##,Incomplete date,Provide full birth date.
Ignacy_Łukasiewicz -> bornOnDate -> 1822-##-##,Incomplete date,Provide full birth date.
1. Publius_Septimius_Geta -> bornOnDate -> 189-##-##,Incomplete date,Add missing month and day.
2. Cleopatra_VII -> bornOnDate -> 69-##-##,Incomplete date,Add missing month and day.
3. Curt_Flood -> bornOnDate -> 1938-##-##,Incomplete date,Add missing month and day.
4. Anne_de_Montmorency -> bornOnDate -> 1493-##-##,Incomplete date,Add missing month and day.
5. Sam_Kieth -> bornOnDate -> 1963-##-##,Incomplete date,Add missing month and day.
6. Hanadi_Jaradat -> bornOnDate -> 1975-##-##,Incomplete date,Add missing month and day.
7. Tasmin_Little -> bornOnDate -> 1965-##-##,Incomplete date,Add missing month and day.
8. Early_Wynn -> bornOnDate -> 1920-##-##,Incomplete date,Add missing month and day.
10. Maarten_Tromp -> bornOnDate -> 1598-##-##,Incomplete date,Add missing month and day.
11. Herbert_George_Welch_(Methodist_Bishop) -> bornOnDate -> 1862-##-##,Incomplete date,Add missing month and day.
Ōmura_Masujirō -> bornOnDate -> 1824-##-##,Incomplete date,Specify full birth date if available.
Albion_Woodbury_Small -> bornOnDate -> 1854-##-##,Incomplete date,Specify full birth date if available.
Judith_Church -> bornOnDate -> 1953-##-##,Incomplete date,Specify full birth date if available.
Bewick_Bridge -> bornOnDate -> 1767-##-##,Incomplete date,Specify full birth date if available.
Glückel_of_Hameln -> bornOnDate -> 1646-##-##,Incomplete date,Specify full birth date if available.
Norton_P._Chipman -> bornOnDate -> 1834-##-##,Incomplete date,Specify full birth date if available.
Mazarine_Pingeot -> bornOnDate -> 1974-##-##,Incomplete date,Specify full birth date if available.
Ida_S._Scudder -> bornOnDate -> 1870-##-##,Incomplete date,Specify full birth date if available.
Hossein_Derakhshan -> bornOnDate -> 1975-##-##,Incomplete date,Specify full birth date if available.
Zip_the_Pinhead -> bornOnDate -> 1842-##-##,Incomplete date,Specify full birth date if available.
Thomas_Fremantle_(Royal_Navy_officer) -> bornIn -> Buckinghamshire,Non-specific place,Specify a city or town.
Lance_Alworth -> bornOnDate -> 1940-##-##,Incomplete date,Provide full date.
David_II_of_Scotland -> bornOnDate -> 1324-##-##,Incomplete date,Provide full date.
Josh_Kalis -> bornOnDate -> 1976-##-##,Incomplete date,Provide full date.
Tulsidas -> bornOnDate -> 1532-##-##,Incomplete date,Provide full date.
Secretariat_(horse) -> bornOnDate -> 1970-##-##,Incomplete date,Provide full date.
Devon_(porn_star) -> bornOnDate -> 1977-##-##,Incomplete date,Provide full date.
Wilder_Penfield -> bornOnDate -> 1891-##-##,Incomplete date,Provide full date.
Randall_Simon -> bornOnDate -> 1975-##-##,Incomplete date information,Specify full date
W._G._Grace -> bornOnDate -> 1848-##-##,Incomplete date information,Specify full date
Bodil_Malmsten -> bornOnDate -> 1944-##-##,Incomplete date information,Specify full date
Zephaniah_Williams -> bornOnDate -> 1795-##-##,Incomplete date information,Specify full date
Hale_Boggs -> bornOnDate -> 1914-##-##,Incomplete date information,Specify full date
Wawrzyniec_Grzymała_Goślicki -> bornOnDate -> 15##-##-##,Incomplete date information,Specify full date
Bruce_Davison -> actedIn -> 8mm_2,Incorrect movie presence,Verify movie involvement.
Jumbo -> bornOnDate -> 1861-##-##,Entity not a person,Validate entity classification.
Gustaf_Fröding -> bornOnDate -> 1860-##-##,Incomplete birth date,Add full date.
Jahanara_Begum_Sahib -> bornOnDate -> 1614-##-##,Incomplete birth date,Add full date.
Ray_Young_Bear -> bornOnDate -> 1950-##-##,Incomplete birth date,Add full date.
DJ_Hell -> bornOnDate -> 1962-##-##,Incomplete birth date,Add full date.
Temple_Grandin -> bornOnDate -> 1947-##-##,Incomplete birth date,Add full date.
Amalaric -> bornOnDate -> 502-##-##,Incomplete birth date,Add full date.
Henry_Venn_(Clapham_Sect) -> bornOnDate -> 1725-##-##,Incomplete birth date,Add full date.
Balbinus -> bornOnDate -> 165-##-##,Incomplete birth date,Add full date.
Irene_Jai_Narayan -> bornOnDate -> 1932-##-##,Missing specific day and month,Specify complete date
Murad_III -> bornOnDate -> 1546-##-##,Missing specific day and month,Specify complete date
Isadora_Duncan -> bornOnDate -> 1877-##-##,Missing specific day and month,Specify complete date
LFO_(band) -> bornOnDate -> 1987-##-##,Band shouldn't have birthdate,Use 'formedOnDate'
Caspar_Wessel -> bornOnDate -> 1745-##-##,Missing specific day and month,Specify complete date
Michel_Trudeau -> bornOnDate -> 1975-##-##,Missing specific day and month,Specify complete date
Tony_Wright_(Great_Yarmouth_MP) -> bornOnDate -> 1954-##-##,Missing specific day and month,Specify complete date
Nils_Arne_Eggen -> bornOnDate -> 1941-##-##,Missing specific day and month,Specify complete date
Marmaduke_Langdale -> bornOnDate -> 1598-##-##,Missing specific day and month,Specify complete date
Jacopo_Sansovino -> bornOnDate -> 1486-##-##,Date incomplete,Provide full date.
Kang_Kek_Iew -> bornOnDate -> 1942-##-##,Date incomplete,Provide full date.
Mats_Svegfors -> bornOnDate -> 1948-##-##,Date incomplete,Provide full date.
Marmaduke_Wyvill -> bornOnDate -> 1815-##-##,Date incomplete,Provide full date.
Oona_King -> bornOnDate -> 1967-##-##,Date incomplete,Provide full date.
Wolf_Vostell -> bornOnDate -> 1932-##-##,Date incomplete,Provide full date.
Archduchess_Gisela_of_Austria -> bornOnDate -> 1856-##-##,Date incomplete,Provide full date.
Mirabal_sisters -> bornOnDate -> 1936-##-##,Date incomplete,Provide full date.
Qu_You -> bornOnDate -> 1341-##-##,Date incomplete,Provide full date.
Zahi_Hawass -> bornOnDate -> 1947-##-##,Date incomplete,Provide full date.
György_Lukács -> bornOnDate -> 1885-04-13,Format error (year-month-day),Correct date format.
Avidius_Cassius -> bornOnDate -> 130-##-##,Incomplete birth date,Add complete birth date.
Deepak_Obhrai -> bornOnDate -> 1950-##-##,Incomplete birth date,Add complete birth date.
John_Tower -> bornOnDate -> 1925-##-##,Incomplete birth date,Add complete birth date.
Octave_Chanute -> bornOnDate -> 1832-##-##,Incomplete birth date,Add complete birth date.
Baby_M -> bornOnDate -> 1986-##-##,Incomplete birth date,Add complete birth date.
1. Abbotsford_International_Airport -> bornIn -> Al_Ain,Non-human entity,Change entity to location.
Ad_Herbal -> bornOnDate -> 2##-##-##,Incomplete date value (2 can't be century),Use valid year.
Johan_Paulik -> bornOnDate -> 1975-##-##,Incomplete date,Complete date with day and month.
Moses_Shapira -> bornOnDate -> 1830-##-##,Incomplete date,Complete date with day and month.
Pavle_Ivić -> bornOnDate -> 1924-##-##,Incomplete date,Complete date with day and month.
Guilielmus_Xylander -> bornOnDate -> 1532-##-##,Incomplete date,Complete date with day and month.
Enzo_Scifo -> bornOnDate -> 1966-##-##,Incomplete date,Complete date with day and month.
Ken_Whyld -> bornOnDate -> 1926-##-##,Incomplete date,Complete date with day and month.
Gitta_Sereny -> bornOnDate -> 1921-##-##,Incomplete date,Complete date with day and month.
José_Miguel_Cotto -> bornOnDate -> 1977-##-##,Incomplete date,Complete date with day and month.
Etti_Plesch -> bornOnDate -> 1914-##-##,Incomplete date,Complete date with day and month.
1. Scholastica -> bornOnDate -> 480-##-##,Incomplete date format,Complete the date.
2. Paddy_Tipping -> bornOnDate -> 1949-##-##,Incomplete date format,Complete the date.
3. Raphaël_Poirée -> bornOnDate -> 1974-##-##,Incomplete date format,Complete the date.
4. Simon_Whitfield -> bornOnDate -> 1975-##-##,Incomplete date format,Complete the date.
5. Dat_Nguyen -> bornOnDate -> 1975-##-##,Incomplete date format,Complete the date.
6. Peter_Phillips -> bornOnDate -> 1977-##-##,Incomplete date format,Complete the date.
7. Jamie_Murphy_(soldier) -> bornOnDate -> 1977-##-##,Incomplete date format,Complete the date.
8. Everlyn_Sampi -> bornOnDate -> 1988-##-##,Incomplete date format,Complete the date.
9. Hugh_I_of_Cyprus -> bornOnDate -> 119#-##-##,Invalid year format,Correct the year.
Totò -> bornOnDate -> 1898-##-##,Incomplete date format,Specify complete birthdate
Arvo_Pärt -> bornOnDate -> 1935-##-##,Incomplete date format,Specify complete birthdate
Sonny_Tufts -> bornOnDate -> 1911-##-##,Incomplete date format,Specify complete birthdate
Northern_Dancer -> bornOnDate -> 1961-##-##,Incomplete date format,Specify complete birthdate
Aron_Ralston -> bornOnDate -> 1975-##-##,Incomplete date format,Specify complete birthdate
Raúl_González -> bornOnDate -> 1977-##-##,Incomplete date format,Specify complete birthdate
Tori_Sinclair -> bornOnDate -> 1964-##-##,Incomplete date format,Specify complete birthdate
- Lex_Luger -> bornOnDate -> 1958-##-##,Incomplete date format,Fill missing parts with '01'.
- Athole_Shearer -> bornOnDate -> 1900-##-##,Incomplete date format,Fill missing parts with '01'.
- Kaarlo_Juho_Ståhlberg -> bornOnDate -> 1865-##-##,Incomplete date format,Fill missing parts with '01'.
- Bernardino_Ochino -> bornOnDate -> 1487-##-##,Incomplete date format,Fill missing parts with '01'.
- Gene_Ween -> bornOnDate -> 1970-##-##,Incomplete date format,Fill missing parts with '01'.
Red_Jacket -> bornOnDate -> 1750-##-##,Incomplete date format,Use full date.
Mark_Viduka -> bornOnDate -> 1975-##-##,Incomplete date format,Use full date.
Fredrik_Ljungberg -> bornOnDate -> 1977-##-##,Incomplete date format,Use full date.
Philander_Claxton -> bornOnDate -> 1862-##-##,Incomplete date format,Use full date.
Annalisa_Cima -> bornOnDate -> 1941-##-##,Incomplete date format,Use full date.
Shoaib_Akhtar -> bornOnDate -> 1975-##-##,Incomplete date format,Use full date.
Visconte_Maggiolo -> bornOnDate -> 1478-##-##,Incomplete date format,Use full date.
Rrok_Mirdita -> bornOnDate -> 1939-##-##,Incomplete date format,Use full date.
Leah_Betts -> bornOnDate -> 1977-##-##,Incomplete date format,Use full date.
Moshoeshoe_I -> bornOnDate -> 1786-##-##,Incomplete date format,Use full date.
Béla_Lugosi -> actedIn -> Leoni_Leo,"""actedIn"" entity likely incorrect","Verify ""actedIn"" object."
Benning_Wentworth -> bornOnDate -> 1696-##-##,Date partially missing,Specify full birthdate.
Ulugh_Beg -> bornOnDate -> 1393-##-##,Date partially missing,Specify full birthdate.
Lelio_Sozzini -> bornOnDate -> 1525-##-##,Date partially missing,Specify full birthdate.
Hedwig_of_Andechs -> bornOnDate -> 1174-##-##,Date partially missing,Specify full birthdate.
Berengar_of_Tours -> bornOnDate -> 999-##-##,Date partially missing,Specify full birthdate.
1. Melissa_Manchester -> bornOnDate -> 1951-##-##,Partial date format,Use complete date.
2. Juicy_J -> bornOnDate -> 1975-##-##,Partial date format,Use complete date.
3. Bedford_Brown -> bornOnDate -> 1795-##-##,Partial date format,Use complete date.
4. Srirangam_Srinivasarao -> bornOnDate -> 1910-##-##,Partial date format,Use complete date.
5. Li_Lu -> bornOnDate -> 1966-##-##,Partial date format,Use complete date.
6. Gonzalo_Pizarro -> bornOnDate -> 1502-##-##,Partial date format,Use complete date.
Scarlett_O%27Hara -> bornOnDate -> 1845-##-##,Fictional character,Remove or label fictional.
Alice_Prin -> actedIn -> Ballet_Mécanique,Invalid film (Ballet Mécanique is a short film),Verify film roles
Béla_Lugosi -> actedIn -> In_the_Ecstasy_of_Billions,Invalid title (film doesn't exist),Verify film roles
Shin_Saimdang -> bornOnDate -> 1504-##-##,Partial date,Use full date.
Elizabeth_Woodville -> bornOnDate -> 143#-##-##,Incomplete year,Specify full year.
Josef_Zemp -> bornOnDate -> 1834-##-##,Partial date,Use full date.
Dobri_Hristov -> bornOnDate -> 1875-##-##,Partial date,Use full date.
Rudi_Dutschke -> bornOnDate -> 1940-##-##,Partial date,Use full date.
Pythagoras -> bornOnDate -> 580-##-##,Partial date,Use full date.
Isa_Boletini -> bornOnDate -> 1864-##-##,Incomplete date,Use specific date if known
Chief_Seattle -> bornOnDate -> 1786-##-##,Incomplete date,Use specific date if known
Wiremu_Kingi -> bornOnDate -> 1795-##-##,Incomplete date,Use specific date if known
Yū_Asakawa -> bornOnDate -> 1975-##-##,Incomplete date,Use specific date if known
Nanni_di_Banco -> bornOnDate -> 1384-##-##,Incomplete date,Use specific date if known
Baldassare_Galuppi -> bornOnDate -> 1706-##-##,Incomplete date,Use specific date if known
Ignaz_Maybaum -> bornOnDate -> 1897-##-##,Incomplete date,Use specific date if known
Jonah_Lomu -> bornOnDate -> 1975-##-##,Incomplete date,Use specific date if known
Radu_cel_Frumos -> bornOnDate -> 143#-##-##,Incomplete year,Use a complete four-digit year.
James_Hepburn_(bishop) -> bornOnDate -> 14##-##-##,Missing century digits,Use complete year.
Lady_Davina_Lewis -> bornOnDate -> 1977-##-##,Missing month and day,Use full date.
Vissarion_Belinsky -> bornOnDate -> 1811-##-##,Incomplete date,Provide full birth date.
Cathal_Brugha -> bornOnDate -> 1874-##-##,Missing month and day,Specify complete birth date.
Enzo_Matsunaga -> bornOnDate -> 1895-##-##,Incomplete date,Provide full birth date.
Cuthbert_Tunstall -> bornOnDate -> 1474-##-##,Missing month and day,Specify complete birth date.
Christian_V_of_Denmark -> bornOnDate -> 1646-##-##,Incomplete date,Provide complete birth date.
Christian_I_of_Denmark -> bornOnDate -> 1426-##-##,Incomplete date,Provide full date of birth.
Mala_Powers -> actedIn -> Where_The_Wind_Dies,Invalid movie title,Correct movie name
June_Callwood -> bornIn -> Chatham-Kent,Unclear birthplace level,Specify town or city
Traian_Băsescu -> bornIn -> Murfatlar,City status unconfirmed,Verify modern city name
Reinhard_Klimmt -> bornIn -> Berlin,City lacks historical context,Confirm birth era context
Sam_Northeast -> bornIn -> Ashford,_Kent,"Unclear city specification, Confirm city status"
1. Ice-T -> bornOnDate -> 1975-02-16,Incorrect birth date,Update to 1958-02-16.
2. Lawrence_Ferlinghetti -> bornOnDate -> 1919-03-24,Incorrect because he died in 2021,Verify year of birth.
3. Aenesidemus -> bornOnDate -> 0##-##-##,Incomplete birth date,Estimate or research for specifics.
4. Yolande_of_Jerusalem -> bornOnDate -> 1212-##-##,Incomplete birth date,Research for more accurate date.
5. Steve_Bartman -> bornOnDate -> 1977-##-##,Incomplete birth date,Verify or remove day/month.
6. Mike_Dugas -> bornOnDate -> 1977-##-##,Incomplete birth date,Determine exact date or remove.
7. Marie_Collings -> bornOnDate -> 1791-##-##,Incomplete birth date,Research for complete date.
8. Dingane_kaSenzangakhona -> bornOnDate -> 1795-##-##,Incomplete birth date,Seek complete date.
9. Absalon -> bornOnDate -> 112#-##-##,Incomplete birth date,Research historically accurate date.
Sigizmund_Levanevsky -> bornOnDate -> 1902-##-##,Incomplete birth date,Provide complete birth date.
Genni_Gunn -> bornOnDate -> 1949-##-##,Incomplete birth date,Provide complete birth date.
Jampa_Tsering -> bornOnDate -> 196#-##-##,Incomplete birth year,Provide complete birth year.
Libéral_Bruant -> bornOnDate -> 163#-##-##,Incomplete birth year,Provide complete birth year.
Luo_Gan -> bornOnDate -> 1935-##-##,Incomplete birth date,Provide complete birth date.
Itzik_Feffer -> bornOnDate -> 1900-##-##,Incomplete birth date,Provide complete birth date.
Ednita_Nazario -> bornOnDate -> 1965-##-##,Incomplete birth date,Provide complete birth date.
Ignacy_Domeyko -> bornOnDate -> 1802-##-##,Incomplete birth date,Provide complete birth date.
Thierry_Henry -> bornOnDate -> 1977-##-##,Incomplete birth date,Provide complete birth date.
1. Itzik_Kol -> bornOnDate -> 193#-##-##,Invalid date format,Replace '#' with valid digits.
Vecchietta -> bornOnDate -> 1412-##-##,Incomplete date,Specify complete date.
Olav_V_of_Norway -> bornOnDate -> 1903-##-##,Incomplete date,Specify complete date.
Liu_Shan -> bornOnDate -> 207-##-##,Incomplete date,Specify complete date.
Shannon_Whirry -> bornOnDate -> 1964-##-##,Incomplete date,Specify complete date.
Theudebald -> bornOnDate -> 535-##-##,Incomplete date,Specify complete date.
Dumitru_Prunariu -> bornOnDate -> 1952-##-##,Incomplete date,Specify complete date.
Gaius_Caesar -> bornOnDate -> 20-##-##,Incomplete date,Specify complete date.
Lila_Downs -> bornOnDate -> 1968-##-##,Incomplete date,Specify complete date.
Ryoko_Tani -> bornOnDate -> 1975-##-##,Incomplete date,Specify complete date.
1. Prince_Munetaka -> bornOnDate -> 1242-##-##,Incomplete date format,Use full birth date if available.
2. Jean_Salmon_Macrin -> bornOnDate -> 1490-##-##,Incomplete date format,Use full birth date if available.
3. Vakhushti -> bornOnDate -> 1696-##-##,Incomplete date format,Use full birth date if available.
4. Nazım_Hikmet -> bornOnDate -> 1902-##-##,Incomplete date format,Use full birth date if available.
5. Zeng_Guofan -> bornOnDate -> 1811-##-##,Incomplete date format,Use full birth date if available.
6. Idris_I_of_Libya -> bornOnDate -> 1890-##-##,Incomplete date format,Use full birth date if available.
7. DJ_Patife -> bornOnDate -> 1977-##-##,Incomplete date format,Use full birth date if available.
8. Kul_Tigin -> bornOnDate -> 685-##-##,Incomplete date format,Use full birth date if available.
9. Pupienus -> bornOnDate -> 178-##-##,Incomplete date format,Use full birth date if available.
Lia_Sargent -> bornIn -> New_Jersey,Missing birth date,Add birth date triple.
Leroy_Hood -> bornOnDate -> 1938-##-##,Incomplete birth date,Provide full birth date.
Don_Garlits -> bornOnDate -> 1932-##-##,Incomplete birth date,Provide full birth date.
Axel_Lille -> bornOnDate -> 1848-##-##,Incomplete birth date,Provide full birth date.
Arsacius_of_Tarsus -> bornOnDate -> 3##-##-##,Invalid format,Correct year and provide full date.
Kamehameha_I -> bornOnDate -> 1758-##-##,Incomplete birth date,Provide full birth date.
Lex_Lang -> bornOnDate -> 1967-##-##,Incomplete birth date,Provide full birth date.
Onjo_of_Baekje -> bornOnDate -> 0##-##-##,Invalid date format,Use valid historical date.
Nan_Goldin -> bornOnDate -> 1953-##-##,Incomplete date format,Provide complete date.
Blue_Jacket -> bornOnDate -> 1745-##-##,Incomplete date format,Provide complete date.
Naji_Shawkat -> bornOnDate -> 1893-##-##,Incomplete date format,Provide complete date.
Northrop_Frye -> bornOnDate -> 1912-##-##,Incomplete date format,Provide complete date.
Agnolo_Gaddi -> bornOnDate -> 1350-##-##,Incomplete date format,Provide complete date.
Saint_Lucy -> bornOnDate -> 283-##-##,Incomplete date format,Provide complete date.
Gyaltsab_Je -> bornOnDate -> 1364-##-##,Incomplete date format,Provide complete date.
Évariste_Régis_Huc -> bornOnDate -> 1813-##-##,Incomplete date format,Provide complete date.
- William_de_St-Calais -> bornOnDate -> 10##-##-##,Invalid date format,Specify full birthdate.
- Jobriath -> bornOnDate -> 1946-##-##,Incomplete date information,Provide complete birthdate.
- Salamone_Rossi -> bornOnDate -> 157#-##-##,Invalid century mark in date,Correct the century.
- Madhu_Sudan -> bornOnDate -> 1966-##-##,Incomplete date information,Provide complete birthdate.
- Demetrius_I_of_Macedon -> bornOnDate -> 337-##-##,Incomplete date information,Provide complete birthdate.
- Lani_Guinier -> bornOnDate -> 1950-##-##,Incomplete date information,Provide complete birthdate.
- Wellington_Hay -> bornOnDate -> 1864-##-##,Incomplete date information,Provide complete birthdate.
- Dale_Bumpers -> bornOnDate -> 1925-##-##,Incomplete date information,Provide complete birthdate.
- Surjeet_Kalsey -> bornOnDate -> 1944-##-##,Incomplete date information,Provide complete birthdate.
Rainbow_Harvest -> bornOnDate -> 1967-##-##,Missing detailed birthdate,Provide complete date.
Quanah_Parker -> bornOnDate -> 184#-##-##,Missing detailed birthdate,Provide complete date.
Rose_O%27Neal_Greenhow -> bornOnDate -> 1817-##-##,Missing detailed birthdate,Provide complete date.
Gwanghaegun_of_Joseon -> bornOnDate -> 1574-##-##,Missing detailed birthdate,Provide complete date.
Pachomius -> bornOnDate -> 292-##-##,Missing detailed birthdate,Provide valid complete date.
Dewey_(deer) -> bornOnDate -> 2003-##-##,Missing detailed birthdate,Provide complete date.
Gordian_I -> bornOnDate -> 159-##-##,Missing detailed birthdate,Provide complete date.
